================================================================================
📊 GYROSTARS - TOZALANGAN VA HAQIQIY BALANSLAR HISOBOTI
🕒 Sana va vaqt: 2026-08-21 18:44:29
👥 Jami foydalanuvchilar: 308 ta
💰 Balansga ega foydalanuvchilar: 1 ta
💳 Jami foydalanuvchilar balansi: 32 000 so'm
================================================================================

--- 🌟 BALANSGA EGA FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Izoh                          
--------------------------------------------------------------------------------
1     | 8856364002       | 32 000 so'm            | 202k - 170k (Premium olingan) 

--- ⚪ 0 SO'M BALANSLI FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Holat               
--------------------------------------------------------------------------------
244   | 7832453658       | 0 so'm                 | Tozalangan          
245   | 7849049050       | 0 so'm                 | Tozalangan          
246   | 7865171476       | 0 so'm                 | Tozalangan          
247   | 7884945207       | 0 so'm                 | Tozalangan          
248   | 7921005475       | 0 so'm                 | Tozalangan          
249   | 7930170465       | 0 so'm                 | Tozalangan          
250   | 7937365664       | 0 so'm                 | Tozalangan          
251   | 7956232429       | 0 so'm                 | Tozalangan          
252   | 7973980293       | 0 so'm                 | Tozalangan          
253   | 7975110387       | 0 so'm                 | Tozalangan          
254   | 7975930967       | 0 so'm                 | Tozalangan          
255   | 7977800609       | 0 so'm                 | Tozalangan          
256   | 7984934384       | 0 so'm                 | Tozalangan          
257   | 8041352848       | 0 so'm                 | Tozalangan          
258   | 8042924234       | 0 so'm                 | Tozalangan          
259   | 8057192584       | 0 so'm                 | Tozalangan          
260   | 8064544088       | 0 so'm                 | Tozalangan          
261   | 8074934831       | 0 so'm                 | Tozalangan          
262   | 8090272430       | 0 so'm                 | Tozalangan          
263   | 8104099722       | 0 so'm                 | Tozalangan          
264   | 8120744560       | 0 so'm                 | Tozalangan          
265   | 8125966012       | 0 so'm                 | Tozalangan          
266   | 8159265215       | 0 so'm                 | Tozalangan          
267   | 8177161136       | 0 so'm                 | Tozalangan          
268   | 8178156112       | 0 so'm                 | Tozalangan          
269   | 8266213672       | 0 so'm                 | Tozalangan          
270   | 8272733430       | 0 so'm                 | Tozalangan          
271   | 8277925574       | 0 so'm                 | Tozalangan          
272   | 8282426484       | 0 so'm                 | Tozalangan          
273   | 8324694362       | 0 so'm                 | Tozalangan          
274   | 8330996079       | 0 so'm                 | Tozalangan          
275   | 8360238028       | 0 so'm                 | Tozalangan          
276   | 8390472638       | 0 so'm                 | Tozalangan          
277   | 8394027540       | 0 so'm                 | Tozalangan          
278   | 8426561368       | 0 so'm                 | Tozalangan          
279   | 8429242400       | 0 so'm                 | Tozalangan          
280   | 8434492111       | 0 so'm                 | Tozalangan          
281   | 8452906667       | 0 so'm                 | Tozalangan          
282   | 8460822022       | 0 so'm                 | Tozalangan          
283   | 8470916452       | 0 so'm                 | Tozalangan          
284   | 8518159967       | 0 so'm                 | Tozalangan          
285   | 8537687937       | 0 so'm                 | Tozalangan          
286   | 8538280063       | 0 so'm                 | Tozalangan          
287   | 8541093588       | 0 so'm                 | Tozalangan          
288   | 8595384719       | 0 so'm                 | Tozalangan          
289   | 8622117418       | 0 so'm                 | Tozalangan          
290   | 8657276222       | 0 so'm                 | Tozalangan          
291   | 8679524755       | 0 so'm                 | Tozalangan          
292   | 8695047987       | 0 so'm                 | Tozalangan          
293   | 8721841892       | 0 so'm                 | Tozalangan          
294   | 8724478659       | 0 so'm                 | Tozalangan          
295   | 8740570068       | 0 so'm                 | Tozalangan          
296   | 8752560155       | 0 so'm                 | Tozalangan          
297   | 8777929681       | 0 so'm                 | Tozalangan          
298   | 8795661536       | 0 so'm                 | Tozalangan          
299   | 8809146906       | 0 so'm                 | Tozalangan          
300   | 8820797361       | 0 so'm                 | Tozalangan          
301   | 8840314716       | 0 so'm                 | Tozalangan          
302   | 8844868651       | 0 so'm                 | Tozalangan          
303   | 8860505038       | 0 so'm                 | Tozalangan          
304   | 8904782975       | 0 so'm                 | Tozalangan          
305   | 8964778675       | 0 so'm                 | Tozalangan          
306   | 8973792872       | 0 so'm                 | Tozalangan          
307   | 8987529235       | 0 so'm                 | Tozalangan          

================================================================================
